[s],CH1[V]
6.33960E-02,1.648E-02
6.34000E-02,2.448E-02
6.34040E-02,2.448E-02
6.34080E-02,1.648E-02
6.34120E-02,1.648E-02
6.34160E-02,2.448E-02
6.34200E-02,2.448E-02
6.34240E-02,2.448E-02
6.34280E-02,3.248E-02
6.34320E-02,2.448E-02
6.34360E-02,2.448E-02
6.34400E-02,2.448E-02
6.34440E-02,2.448E-02
6.34480E-02,2.448E-02
6.34520E-02,4.048E-02
6.34560E-02,2.448E-02
6.34600E-02,1.648E-02
6.34640E-02,2.448E-02
6.34680E-02,2.448E-02
6.34720E-02,3.248E-02
6.34760E-02,3.248E-02
6.34800E-02,2.448E-02
6.34840E-02,2.448E-02
6.34880E-02,2.448E-02
6.34920E-02,3.248E-02
6.34960E-02,3.248E-02
6.35000E-02,2.448E-02
6.35040E-02,3.248E-02
6.35080E-02,3.248E-02
6.35120E-02,3.248E-02
6.35160E-02,4.048E-02
6.35200E-02,3.248E-02
6.35240E-02,2.448E-02
6.35280E-02,4.048E-02
6.35320E-02,2.448E-02
6.35360E-02,3.248E-02
6.35400E-02,1.648E-02
6.35440E-02,2.448E-02
6.35480E-02,2.448E-02
6.35520E-02,1.648E-02
6.35560E-02,2.448E-02
6.35600E-02,2.448E-02
6.35640E-02,1.648E-02
6.35680E-02,2.448E-02
6.35720E-02,2.448E-02
6.35760E-02,1.648E-02
6.35800E-02,3.248E-02
6.35840E-02,2.448E-02
6.35880E-02,2.448E-02
6.35920E-02,2.448E-02
6.35960E-02,2.448E-02
6.36000E-02,1.648E-02
6.36040E-02,1.648E-02
6.36080E-02,2.448E-02
6.36120E-02,1.648E-02
6.36160E-02,1.648E-02
6.36200E-02,1.648E-02
6.36240E-02,8.485E-03
6.36280E-02,4.845E-04
6.36320E-02,4.845E-04
6.36360E-02,4.845E-04
6.36400E-02,8.485E-03
6.36440E-02,8.485E-03
6.36480E-02,8.485E-03
6.36520E-02,-7.515E-03
6.36560E-02,4.845E-04
6.36600E-02,4.845E-04
6.36640E-02,8.485E-03
6.36680E-02,8.485E-03
6.36720E-02,1.648E-02
6.36760E-02,1.648E-02
6.36800E-02,8.485E-03
6.36840E-02,1.648E-02
6.36880E-02,8.485E-03
6.36920E-02,1.648E-02
6.36960E-02,8.485E-03
6.37000E-02,1.648E-02
6.37040E-02,2.448E-02
6.37080E-02,2.448E-02
6.37120E-02,2.448E-02
6.37160E-02,3.248E-02
6.37200E-02,2.448E-02
6.37240E-02,2.448E-02
6.37280E-02,2.448E-02
6.37320E-02,2.448E-02
6.37360E-02,1.648E-02
6.37400E-02,3.248E-02
6.37440E-02,2.448E-02
6.37480E-02,3.248E-02
6.37520E-02,2.448E-02
6.37560E-02,3.248E-02
6.37600E-02,1.648E-02
6.37640E-02,1.648E-02
6.37680E-02,1.648E-02
6.37720E-02,2.448E-02
